0, 31
1, 3
1, 4
1, 5
1, 6
1, 31
2, 1
2, 31
3, 1
3, 7
3, 26
3, 27
3, 28
3, 29
3, 30
3, 31
4, 1
4, 7
4, 26
5, 1
5, 26
6, 26
7, 2
7, 3
7, 7
8, 4
8, 7
8, 26
9, 4
9, 7
9, 26
10, 4
10, 7
10, 26
11, 4
11, 7
11, 26
12, 4
12, 8
12, 9
12, 10
12, 11
12, 12
12, 13
12, 16
12, 17
12, 18
12, 19
12, 21
12, 22
12, 23
12, 24
12, 25
12, 26
13, 4
14, 4
16, 5
16, 6
16, 7
16, 10
16, 12
16, 13
16, 14
17, 15
20, 16
20, 17
20, 20
20, 21
20, 22
20, 23
21, 26
22, 26
23, 8
23, 16
24, 13
24, 27
24, 28
25, 29
26, 9
26, 17
26, 29
27, 12
27, 17
27, 29
28, 17
29, 19
29, 22
29, 25
29, 27
29, 28
