0, 26
1, 26
1, 31
2, 26
2, 31
3, 4
3, 5
3, 6
3, 7
3, 21
3, 22
3, 23
3, 24
3, 25
3, 26
3, 31
4, 9
4, 21
4, 31
5, 21
5, 31
6, 4
6, 10
6, 21
6, 31
7, 4
7, 13
7, 21
7, 31
8, 4
8, 21
8, 31
9, 4
9, 21
9, 22
9, 23
9, 24
9, 25
9, 26
9, 27
9, 28
9, 29
9, 30
9, 31
10, 14
10, 20
11, 4
11, 16
11, 23
12, 4
13, 4
13, 19
13, 24
14, 4
14, 17
14, 27
15, 4
16, 4
17, 6
17, 7
17, 8
17, 9
17, 10
17, 11
17, 14
17, 15
17, 16
17, 17
17, 18
17, 19
18, 20
19, 20
20, 20
21, 20
22, 20
23, 21
23, 22
23, 23
23, 24
23, 25
24, 26
25, 26
26, 26
27, 26
28, 26
29, 26
30, 26
31, 26
