1, 2
1, 3
1, 4
1, 5
1, 6
1, 7
1, 8
2, 2
2, 8
3, 2
3, 8
3, 9
4, 2
4, 3
4, 9
5, 3
5, 8
5, 9
5, 30
6, 2
6, 3
6, 8
7, 2
7, 8
7, 30
8, 2
8, 8
8, 9
8, 30
9, 2
9, 3
9, 9
9, 30
10, 8
10, 30
11, 2
11, 3
11, 8
11, 30
12, 2
12, 8
12, 30
13, 2
13, 8
13, 30
14, 2
14, 8
14, 30
15, 2
15, 3
15, 8
15, 30
16, 3
16, 8
16, 30
17, 2
17, 3
17, 7
17, 8
17, 30
18, 2
18, 7
18, 30
19, 2
19, 7
19, 30
20, 2
20, 7
20, 8
20, 30
21, 2
21, 3
21, 8
21, 16
21, 17
21, 18
21, 19
21, 20
21, 21
21, 22
21, 30
22, 3
22, 8
22, 16
22, 22
22, 30
23, 2
23, 3
23, 8
23, 9
23, 10
23, 11
23, 12
23, 13
23, 14
23, 15
23, 16
23, 22
23, 23
23, 24
23, 25
23, 27
23, 28
23, 29
23, 30
24, 2
25, 2
26, 2
27, 2
28, 2
29, 2
30, 0
30, 1
30, 2
